분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,8.7,65.0,6.6,70.0,8.4,73.3,6.9,70.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,3.5,50.0,3.4,50.0,10.7,66.7,3.7,50.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-7.8,25.0,-6.7,30.0,-3.1,20.0,-7.7,15.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,0.3,45.0,3.5,45.0,5.9,80.0,1.9,45.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,11.8,70.0,9.1,70.0,5.8,46.7,12.0,70.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,11.5,55.0,6.8,65.0,1.7,33.3,3.6,40.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,10.5,70.0,8.3,65.0,10.4,53.3,15.4,70.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,8.5,65.0,1.4,65.0,6.6,73.3,10.7,65.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,6.8,55.0,4.2,55.0,-5.9,26.7,5.9,55.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-11.3,20.0,-10.4,30.0,-13.6,20.0,-9.6,25.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-10.1,15.0,-17.7,5.0,-10.7,26.7,-12.1,10.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,10.1,80.0,13.5,90.0,2.6,40.0,9.4,85.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,26.1,65.0,21.8,65.0,33.5,66.7,29.6,70.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-1.8,35.0,-8.4,25.0,-0.9,33.3,-5.2,30.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,-0.5,50.0,4.7,60.0,-5.6,40.0,2.4,60.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,9.7,60.0,8.7,55.0,1.9,60.0,11.5,70.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,0.0,35.0,-7.2,30.0,2.1,40.0,-1.6,30.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,28.3,65.0,31.3,80.0,26.6,66.7,25.0,80.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-4.3,40.0,0.2,50.0,-0.8,40.0,-2.4,45.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,23.9,80.0,24.1,75.0,10.7,53.3,20.1,65.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,17.3,70.0,15.6,55.0,11.1,60.0,5.7,60.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,13.3,45.0,12.3,40.0,3.0,53.3,10.3,45.0,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,-5.3,30.0,-5.9,25.0,24.9,26.7,1.0,35.0,2021
2021-09-30,2021-11-14,2022-02-14,약세장,-9.8,-1.7,45.0,-2.3,35.0,-10.3,20.0,-6.4,20.0,2021
2021-12-31,2022-02-14,2022-05-15,약세장,-3.7,6.9,65.0,11.5,70.0,4.3,66.7,4.3,50.0,2022
2022-03-31,2022-05-15,2022-08-14,약세장,-2.6,-14.8,20.0,-10.4,25.0,-8.9,26.7,-11.6,15.0,2022
2022-06-30,2022-08-14,2022-11-14,약세장,-2.3,-5.2,30.0,-2.5,30.0,-0.3,46.7,-3.7,35.0,2022
2022-09-30,2022-11-14,2023-02-14,횡보장,-0.4,6.0,65.0,10.2,70.0,14.4,60.0,7.9,70.0,2022
2022-12-31,2023-02-14,2023-05-15,횡보장,0.6,10.5,60.0,-0.9,45.0,14.0,60.0,10.5,60.0,2023
2023-03-31,2023-05-15,2023-08-14,강세장,3.7,13.3,75.0,18.7,55.0,21.1,86.7,21.3,80.0,2023
2023-06-30,2023-08-14,2023-11-14,강세장,-5.4,-3.8,25.0,-4.9,30.0,-4.3,20.0,-1.1,35.0,2023
2023-09-30,2023-11-14,2024-02-14,횡보장,7.7,6.7,55.0,8.4,60.0,-5.8,40.0,6.5,55.0,2023
2023-12-31,2024-02-14,2024-05-15,강세장,4.2,30.6,60.0,26.5,55.0,20.9,66.7,17.0,60.0,2024
2024-03-31,2024-05-15,2024-08-14,강세장,-3.9,2.6,50.0,0.5,45.0,14.4,46.7,0.9,40.0,2024
2024-06-30,2024-08-14,2024-11-14,횡보장,-8.5,-12.1,25.0,-6.7,35.0,-2.5,40.0,-13.1,20.0,2024
2024-09-30,2024-11-14,2025-02-14,약세장,7.1,10.9,80.0,9.4,70.0,9.1,73.3,2.9,50.0,2024
2024-12-31,2025-02-14,2025-05-15,횡보장,1.2,13.1,85.0,4.3,65.0,10.1,66.7,13.6,85.0,2025
2025-03-31,2025-05-15,2025-08-14,횡보장,23.1,29.8,85.0,24.0,80.0,26.0,86.7,28.1,85.0,2025
2025-06-30,2025-08-14,2025-11-14,강세장,24.4,18.0,65.0,23.4,65.0,35.2,66.7,17.2,65.0,2025
2025-09-30,2025-11-14,2026-02-14,강세장,37.3,39.5,90.0,19.5,70.0,36.1,73.3,43.0,85.0,2025
2025-12-31,2026-02-14,2026-05-15,강세장,32.0,8.1,45.0,-1.0,35.0,23.4,53.3,13.1,40.0,2026
