quarter,kospi_return,밸런스형_return,밸런스형_winrate,저평가형_return,저평가형_winrate,모멘텀형_return,모멘텀형_winrate,국면대응형_return,국면대응형_winrate
2020-06-30,3.587969213,15.63160996,60,23.1916757,65,-0.3455291,45,-1.037900607,45
2020-09-30,21.92463321,15.46830741,75,10.99418093,65,14.41047428,65,22.35765604,85
2020-12-31,0.200826184,16.23262815,75,17.05491842,95,4.040217715,50,13.73793133,65
2021-03-31,1.173066371,15.93794659,60,18.7245185,70,-0.846475294,40,10.06116312,40
2021-06-30,-5.545180062,1.595318983,40,-2.212753564,25,21.27983674,35,27.50756367,50
2021-09-30,-9.836240465,5.966621481,50,0.543079719,30,-14.98247448,25,3.149731496,30
2021-12-31,-3.706442643,9.983641372,85,4.417519793,75,-1.265043786,55,4.001575705,75
2022-03-31,-2.643477189,-8.834978923,25,-4.12123136,20,-10.49898024,20,-6.235731519,25
2022-06-30,-2.323644574,-2.47356526,40,-1.924131568,35,-1.299389323,45,-3.440066554,30
2022-09-30,-0.364091892,9.578556355,85,6.227776315,75,8.252625338,45,4.11937538,65
2022-12-31,0.556042245,-0.59679208,35,-1.037130126,35,1.647174052,55,7.692206146,55
2023-03-31,3.691290056,5.80321904,70,7.153919585,70,15.83305692,80,15.85210009,70
2023-06-30,-5.353051691,-6.186543795,25,1.027514754,45,-0.604410199,25,-7.167732353,20
2023-09-30,7.692181239,2.069021167,55,5.759044341,75,-2.934259045,35,7.062105146,70
2023-12-31,4.194747407,5.336538693,65,7.189687263,70,10.56166165,50,18.47017832,60
2024-03-31,-3.941155104,2.361206433,50,0.72496271,35,11.86611441,45,11.55026051,40
2024-06-30,-8.532425789,-4.717529555,40,-3.990316872,20,-0.275484787,45,-4.710633411,35
2024-09-30,7.118642666,3.190910217,55,2.888940874,50,7.609372541,70,4.80500054,60
2024-12-31,1.169796029,10.65147016,65,9.093568094,85,13.17991668,70,8.997782577,80
2025-03-31,23.0529191,22.23703361,70,16.92838576,80,36.4294314,95,29.41897121,90
2025-06-30,24.36431614,13.41843722,60,1.078385179,65,22.33576682,55,32.82032448,75
2025-09-30,37.27817288,30.09134969,90,11.67280845,70,30.33482177,65,20.13070765,70
2025-12-31,31.98608481,15.97064177,45,0.350175996,35,20.99942695,55,23.209287,50
2026-03-31,6.049367558,9.037349702,70,-0.614318487,35,6.018365148,50,5.810218766,55
,5.491431071,7.8230166,57.91666667,5.463382517,55.20833333,7.989425673,50.83333333,10.34008645,55.83333333
