quarter,sig_date,next_sig_date,regime,kospi_return,밸런스형_return,밸런스형_winrate,저평가형_return,저평가형_winrate,모멘텀형_return,모멘텀형_winrate,국면대응형_return,국면대응형_winrate
2015-12-31,2016-02-14,2016-05-15,bear,5.627215121898832,6.769889264623471,65.0,8.669562229541265,75.0,-1.28572843977293,40.0,8.338276076806443,75.0
2016-03-31,2016-05-15,2016-08-14,sideways,4.195313810082757,5.173128148024389,50.0,0.1385273672763506,40.0,9.282630614408548,73.33333333333333,0.05979361304263655,40.0
2016-06-30,2016-08-14,2016-11-14,bull,-3.5824510684845823,-3.1760224140301037,35.0,-5.8676250831998855,35.0,-2.9271145677354014,13.333333333333334,-4.364300763685916,20.0
2016-09-30,2016-11-14,2017-02-14,sideways,5.073440032414922,-2.072510470750015,40.0,-0.3073908993826776,35.0,-1.0798623948329076,60.0,-4.187681160879978,30.0
2016-12-31,2017-02-14,2017-05-15,sideways,10.415652400256437,14.456707285960945,65.0,9.212103057736915,70.0,4.0072755588641344,46.666666666666664,8.594009401146405,55.00000000000001
2017-03-31,2017-05-15,2017-08-14,bull,1.9020801955776712,3.674160722971763,50.0,-0.22565282553723964,40.0,6.073828722320632,46.666666666666664,4.167762012849502,45.0
2017-06-30,2017-08-14,2017-11-14,bull,8.243438921781166,18.29407633651927,70.0,12.374449006383504,80.0,9.344513906646092,66.66666666666666,15.00495548522807,75.0
2017-09-30,2017-11-14,2018-02-14,bull,-4.148196814742111,0.5915502782209763,45.0,6.575176174410965,60.0,26.829013671505717,66.66666666666666,7.469670239234778,55.00000000000001
2017-12-31,2018-02-14,2018-05-15,sideways,1.5157959064013626,4.336204997381956,50.0,-2.486324939309047,35.0,4.37643241654576,46.666666666666664,2.3865512358909386,40.0
2018-03-31,2018-05-15,2018-08-14,sideways,-8.11985975416304,-6.096993883996645,30.0,-10.878580734692811,20.0,-6.665224315034797,26.666666666666668,-8.091940150440966,25.0
2018-06-30,2018-08-14,2018-11-14,bear,-8.449207803763748,-7.3250258799163275,20.0,-16.243737045823288,15.0,-7.097670767249059,26.666666666666668,-15.76060398998047,15.0
2018-09-30,2018-11-14,2019-02-14,bear,7.630376441575382,7.208084320319026,75.0,14.81626308619023,90.0,-5.1347631524684285,26.666666666666668,14.254655899057283,90.0
2018-12-31,2019-02-14,2019-05-15,sideways,-5.978390277871359,28.939962825597707,85.0,12.177368319057233,50.0,30.73525603618889,73.33333333333333,26.592752099888635,80.0
2019-03-31,2019-05-15,2019-08-14,bear,-7.3782241802769715,-4.757703135691446,30.0,-6.3407471533640845,25.0,-4.851031621239272,26.666666666666668,-9.418696382835392,20.0
2019-06-30,2019-08-14,2019-11-14,bear,10.36231472835425,-0.4452182500510261,45.0,2.962045047020188,50.0,-4.762759602791485,40.0,6.505436013396325,60.0
2019-09-30,2019-11-14,2020-02-14,sideways,4.878390822866185,10.06054498205483,65.0,8.910972937347728,55.00000000000001,0.41030314870986667,53.333333333333336,6.1348745356465635,65.0
2019-12-31,2020-02-14,2020-05-15,bull,-14.09838696018435,6.018689618171993,30.0,-8.05953884434859,25.0,-10.997952989328786,26.666666666666668,7.936098193479255,25.0
2020-03-31,2020-05-15,2020-08-14,bear,24.91646257938649,23.30608624049146,60.0,30.68931365729452,65.0,28.63615746748371,66.66666666666666,17.03558118254785,65.0
2020-06-30,2020-08-14,2020-11-14,bull,3.587969212748554,1.8122205352261502,55.00000000000001,-2.5039756569835383,40.0,-0.7470579492808118,40.0,-1.3046015997384957,45.0
2020-09-30,2020-11-14,2021-02-14,bull,21.924633213135493,20.290977844577345,65.0,28.464496821417505,70.0,12.06766186765677,53.333333333333336,21.444566357260133,65.0
2020-12-31,2021-02-14,2021-05-15,bull,0.20082618366699112,0.9312690379976212,45.0,12.114385159290348,65.0,3.198009316086947,46.666666666666664,4.660741129255701,50.0
2021-03-31,2021-05-15,2021-08-14,bull,1.1730663706085664,10.70358517519242,45.0,7.180534239834333,35.0,11.429851206472039,46.666666666666664,12.620279710956584,55.00000000000001
2021-06-30,2021-08-14,2021-11-14,bull,-5.545180061659072,16.013208739357005,30.0,16.44134041896627,35.0,29.244336942881315,33.33333333333333,20.409968561698275,35.0
2021-09-30,2021-11-14,2022-02-14,bear,-9.836240465141088,-0.13643034959258102,45.0,0.19642350957712437,35.0,-9.08839044814162,20.0,0.7332158259184247,45.0
2021-12-31,2022-02-14,2022-05-15,bear,-3.7064426433177644,-2.6924469424435205,50.0,5.470653599755979,75.0,-4.151096677276536,46.666666666666664,4.955471341138794,60.0
2022-03-31,2022-05-15,2022-08-14,bear,-2.643477189225818,-11.315827755601477,25.0,-10.060771287122718,25.0,-1.5970207356354473,40.0,-11.13302752689555,20.0
2022-06-30,2022-08-14,2022-11-14,bear,-2.323644573557737,-6.697624891967952,40.0,-6.585148301008135,25.0,-0.0086703697405504,46.666666666666664,-6.184353024468793,25.0
2022-09-30,2022-11-14,2023-02-14,sideways,-0.36409189178268075,6.641150036808985,60.0,8.085897358333282,55.00000000000001,11.670370387849676,73.33333333333333,8.213794473974783,65.0
2022-12-31,2023-02-14,2023-05-15,sideways,0.5560422446099222,14.901678808581611,60.0,2.9109313060291875,50.0,11.760603256992093,53.333333333333336,12.184130019688062,55.00000000000001
2023-03-31,2023-05-15,2023-08-14,bull,3.691290055861418,19.255426796298735,55.00000000000001,18.74639486688944,50.0,10.31115913953763,53.333333333333336,13.70387740152145,50.0
2023-06-30,2023-08-14,2023-11-14,bull,-5.353051690672805,-2.4952118701658335,35.0,-3.442045901953544,25.0,-14.89448797744302,13.333333333333334,-3.863231002057506,30.0
2023-09-30,2023-11-14,2024-02-14,sideways,7.692181239083529,2.059054186541304,40.0,1.3108374787264174,50.0,-5.8545778508897595,33.33333333333333,4.0487853300194505,50.0
2023-12-31,2024-02-14,2024-05-15,bull,4.194747406904242,27.380780148480056,65.0,14.912791243683651,55.00000000000001,2.8841273306044006,60.0,23.15763662331924,65.0
2024-03-31,2024-05-15,2024-08-14,bull,-3.9411551035234305,5.198571509822177,55.00000000000001,1.9473526779662549,45.0,16.91672611774018,46.666666666666664,8.113163584249799,40.0
2024-06-30,2024-08-14,2024-11-14,sideways,-8.532425789374166,-10.151879476596411,35.0,-6.996135346917512,30.0,-1.7678037748196842,46.666666666666664,-7.0266141102462125,40.0
2024-09-30,2024-11-14,2025-02-14,bear,7.118642666380026,13.159004151961891,70.0,12.760573890804249,75.0,6.061653319580841,53.333333333333336,12.510573890804249,70.0
2024-12-31,2025-02-14,2025-05-15,sideways,1.1697960286370268,9.71813975442166,60.0,2.7499825464830376,70.0,14.053446754771397,66.66666666666666,7.309512565680282,55.00000000000001
2025-03-31,2025-05-15,2025-08-14,sideways,23.052919095431367,23.4503476335242,80.0,15.476730114158809,75.0,23.845527539449833,86.66666666666667,18.811515638713377,80.0
2025-06-30,2025-08-14,2025-11-14,bull,24.364316139952756,12.129768382124286,55.00000000000001,21.705583786271472,65.0,31.35029366775451,66.66666666666666,22.119187555851887,60.0
2025-09-30,2025-11-14,2026-02-14,bull,37.27817288493034,37.677316007799604,80.0,23.483396552528017,60.0,30.062964425842022,66.66666666666666,33.90916081486186,80.0
2025-12-31,2026-02-14,2026-05-15,bull,31.98608481218901,8.133428720490746,40.0,7.526565690750243,35.0,4.777134859117971,40.0,16.883257488045633,45.0
